Price,Close,High,Low,Open,Volume
Ticker,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA
Date,,,,,
2010-02-10,6.353234767913818,6.443995253558001,6.239783871050712,6.392132008501181,1562500
2010-02-11,6.573654651641846,6.58013707552842,6.298131156701706,6.3532360102539664,992000
2010-02-12,6.612550735473633,6.6222751429806,6.492617406649128,6.541238671362896,1215375
2010-02-17,6.719519138336182,6.729243546846205,6.547722542694347,6.619034614160803,736375
2010-02-18,6.803796291351318,6.803796291351318,6.6449653286951404,6.700069790673593,1226250
2010-02-19,6.76489782333374,6.80379544948014,6.631998888701856,6.735725376544931,862375
2010-02-22,6.726001739501953,6.823245043172162,6.65793088595805,6.807037439483254,917750
2010-02-23,6.703310966491699,6.758415421822718,6.52827242111088,6.758415421822718,1282125
2010-02-24,6.693587303161621,6.758416172257819,6.56068758053966,6.758416172257819,659125
2010-02-25,6.726001739501953,6.774623004926517,6.567170778327621,6.738967358760431,1112000
2010-02-26,6.7130351066589355,6.800553989465756,6.619033028791217,6.774621982043128,677500
2010-03-01,6.628757476806641,6.713035149025377,6.619033070564404,6.664413117814195,852875
2010-03-02,6.576894283294678,6.667654378468238,6.5347554468723885,6.631998737195906,1313125
2010-03-03,6.644965171813965,6.680621590291981,6.541238673585121,6.544480657969257,1261500
2010-03-04,6.674138069152832,6.70006930603603,6.5639291531676935,6.70006930603603,569750
2010-03-05,6.657928466796875,6.738964910154629,6.57689279625992,6.674136064596746,1077125
2010-03-08,6.554205417633057,6.68386316097501,6.55096343307473,6.609309881271275,637625
2010-03-09,6.6352410316467285,6.644965439548809,6.515307697949199,6.557446541251182,2002625
2010-03-10,6.693587303161621,6.693587303161621,6.596343999517324,6.641724053320447,1119875
2010-03-11,6.7227606773376465,6.7227606773376465,6.644966178293409,6.690346238334115,556000
2010-03-12,6.651447772979736,6.735725448651815,6.6287577484251,6.732483464557581,599250
2010-03-15,6.6352410316467285,6.667655467046631,6.580136568749004,6.664414255352971,482250
